epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3737,1.54008,4.6081,1.86911,0.24332,0.17507,0.10689,0.05196,1.5119,3.12774,1.90812,9.76585e-05,9.76585e-05,9.76585e-05
2,179.861,1.33272,3.6232,1.64506,0.32165,0.39309,0.33322,0.1882,1.50373,2.6465,1.91858,0.000191784,0.000191784,0.000191784
3,266.521,1.30744,3.06777,1.60357,0.54099,0.45298,0.48812,0.30713,1.37087,2.20038,1.75163,0.00028203,0.00028203,0.00028203
4,354.046,1.26416,2.65589,1.55207,0.58919,0.53965,0.60073,0.35329,1.40408,1.93616,1.80731,0.000276536,0.000276536,0.000276536
5,439.939,1.20987,2.31962,1.50418,0.68341,0.61975,0.69993,0.4382,1.33758,1.70937,1.70679,0.000270715,0.000270715,0.000270715
6,525.607,1.17432,2.07447,1.4715,0.7734,0.606,0.73265,0.45814,1.31037,1.59714,1.69902,0.000264894,0.000264894,0.000264894
7,612.884,1.14226,1.87816,1.44788,0.81096,0.71984,0.82905,0.52579,1.31757,1.34772,1.70566,0.000259073,0.000259073,0.000259073
8,698.902,1.10735,1.7228,1.42006,0.81578,0.73492,0.85429,0.56044,1.2155,1.25627,1.59576,0.000253252,0.000253252,0.000253252
9,784.331,1.1016,1.61856,1.40698,0.84131,0.8171,0.89356,0.58683,1.2137,1.12769,1.59755,0.00024743,0.00024743,0.00024743
10,872.122,1.07573,1.51274,1.39445,0.82285,0.74008,0.86847,0.59742,1.15487,1.18444,1.543,0.000241609,0.000241609,0.000241609
11,958.416,1.05034,1.41301,1.36602,0.89142,0.80233,0.89983,0.61758,1.13355,1.04491,1.53481,0.000235788,0.000235788,0.000235788
