epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1381,1.34499,3.76124,1.68509,0.44328,0.30293,0.28732,0.19749,1.20775,2.60574,1.66843,0.000235546,0.000235546,0.000235546
2,62.382,1.20508,2.84823,1.53786,0.47151,0.51838,0.45694,0.2836,1.2776,2.28004,1.75297,0.00046417,0.00046417,0.00046417
3,92.5218,1.23026,2.60261,1.54623,0.53886,0.55666,0.56472,0.39478,1.20455,2.01938,1.6911,0.000683369,0.000683369,0.000683369
4,122.007,1.20876,2.30258,1.52159,0.69588,0.60638,0.69103,0.4526,1.32665,1.54759,1.77026,0.000671588,0.000671588,0.000671588
5,152.354,1.18481,2.06808,1.48621,0.69513,0.69223,0.75416,0.49401,1.17241,1.36419,1.61246,0.000657451,0.000657451,0.000657451
6,181.852,1.16574,1.88785,1.46178,0.86516,0.72385,0.84661,0.5847,1.17686,1.29776,1.58626,0.000643314,0.000643314,0.000643314
7,211.342,1.14626,1.77526,1.44304,0.85276,0.73854,0.86696,0.57835,1.24831,1.2325,1.68383,0.000629177,0.000629177,0.000629177
8,240.198,1.10594,1.59937,1.39679,0.86783,0.75528,0.87411,0.61991,1.08208,1.12363,1.50637,0.00061504,0.00061504,0.00061504
9,270.614,1.08415,1.52674,1.38539,0.80241,0.78905,0.87257,0.61701,1.11349,1.12122,1.5192,0.000600902,0.000600902,0.000600902
10,300.77,1.06102,1.43852,1.37051,0.90076,0.7893,0.90682,0.63893,1.10747,1.01873,1.5031,0.000586765,0.000586765,0.000586765
11,330.985,1.05401,1.38391,1.35705,0.92124,0.83767,0.94032,0.6591,1.09211,0.88039,1.49382,0.000572628,0.000572628,0.000572628
12,360.596,1.05982,1.3143,1.34608,0.92807,0.84511,0.94038,0.66509,1.05756,0.8662,1.47357,0.000558491,0.000558491,0.000558491
13,390.69,1.04182,1.23537,1.33868,0.96695,0.86752,0.95298,0.69871,1.00956,0.76006,1.42282,0.000544354,0.000544354,0.000544354
14,420.997,1.01369,1.21057,1.32085,0.86769,0.85036,0.90751,0.63412,1.08586,0.91255,1.48308,0.000530216,0.000530216,0.000530216
15,451.026,1.02014,1.16657,1.31862,0.93882,0.89862,0.95533,0.67677,1.09209,0.71375,1.49412,0.000516079,0.000516079,0.000516079
16,480.799,0.98697,1.11804,1.30269,0.91913,0.88756,0.95224,0.69803,1.02126,0.7288,1.43075,0.000501942,0.000501942,0.000501942
17,510.369,0.97976,1.06101,1.30114,0.93751,0.90219,0.96294,0.71641,0.98302,0.66542,1.39408,0.000487805,0.000487805,0.000487805
18,540.589,0.97476,1.07367,1.28883,0.9567,0.88385,0.96048,0.70578,0.98099,0.68569,1.36692,0.000473668,0.000473668,0.000473668
19,570.601,0.96034,1.01769,1.28165,0.92691,0.90763,0.95744,0.71123,0.97602,0.67996,1.37693,0.00045953,0.00045953,0.00045953
20,600.284,0.97262,1.01181,1.28299,0.96401,0.90867,0.9673,0.71547,0.98554,0.63956,1.37544,0.000445393,0.000445393,0.000445393
21,630.585,0.94803,0.98187,1.26879,0.95642,0.92131,0.96731,0.73312,0.96075,0.60601,1.38379,0.000431256,0.000431256,0.000431256
22,660.769,0.94949,0.93504,1.26949,0.95962,0.93283,0.97459,0.7395,0.94569,0.58477,1.36867,0.000417119,0.000417119,0.000417119
23,690.519,0.92502,0.90547,1.25491,0.96606,0.92207,0.97761,0.72614,0.97588,0.55661,1.38921,0.000402982,0.000402982,0.000402982
24,719.655,0.93365,0.9153,1.24901,0.9644,0.92647,0.9785,0.73383,0.94829,0.54997,1.34925,0.000388844,0.000388844,0.000388844
25,748.734,0.93107,0.86661,1.24658,0.958,0.93313,0.973,0.73295,0.93471,0.55537,1.33687,0.000374707,0.000374707,0.000374707
26,777.694,0.91538,0.87224,1.25161,0.97361,0.93567,0.9765,0.73151,0.95371,0.54719,1.33906,0.00036057,0.00036057,0.00036057
27,806.803,0.92176,0.84613,1.23554,0.97964,0.94862,0.98445,0.74582,0.90967,0.49912,1.3162,0.000346433,0.000346433,0.000346433
28,835.974,0.9061,0.82694,1.24599,0.96208,0.93165,0.97855,0.74673,0.91017,0.54098,1.31226,0.000332296,0.000332296,0.000332296
29,866.174,0.89185,0.80739,1.225,0.96311,0.93826,0.97556,0.75706,0.88588,0.51202,1.2873,0.000318158,0.000318158,0.000318158
30,895.925,0.86394,0.77562,1.21012,0.97126,0.95212,0.97896,0.74932,0.89775,0.49218,1.30407,0.000304021,0.000304021,0.000304021
31,927.036,0.85523,0.74113,1.20512,0.97327,0.94753,0.98239,0.76216,0.89467,0.47782,1.30127,0.000289884,0.000289884,0.000289884
32,956.915,0.84766,0.73297,1.19727,0.97101,0.95553,0.98392,0.75264,0.91907,0.49021,1.32103,0.000275747,0.000275747,0.000275747
33,986.614,0.86309,0.75057,1.19885,0.98328,0.95414,0.97889,0.75457,0.90476,0.49193,1.2955,0.00026161,0.00026161,0.00026161
34,1016.16,0.86115,0.71859,1.20421,0.97395,0.946,0.98142,0.75658,0.89904,0.466,1.29218,0.000247472,0.000247472,0.000247472
35,1045.59,0.83999,0.72084,1.19842,0.96697,0.94334,0.98189,0.76783,0.88528,0.47684,1.27211,0.000233335,0.000233335,0.000233335
36,1075.24,0.83482,0.68905,1.18214,0.97884,0.94349,0.98086,0.75924,0.8956,0.47591,1.29174,0.000219198,0.000219198,0.000219198
37,1105.64,0.81796,0.67963,1.17889,0.97982,0.94508,0.98067,0.76131,0.88166,0.45289,1.28319,0.000205061,0.000205061,0.000205061
38,1136.3,0.82139,0.67028,1.16903,0.97969,0.96564,0.98381,0.7668,0.87287,0.44667,1.27264,0.000190924,0.000190924,0.000190924
39,1166.89,0.83753,0.66029,1.19155,0.96826,0.95217,0.98242,0.76764,0.87273,0.45428,1.27561,0.000176786,0.000176786,0.000176786
40,1197.12,0.81489,0.6655,1.17558,0.97213,0.95629,0.98219,0.77416,0.86237,0.43897,1.27965,0.000162649,0.000162649,0.000162649
41,1230.48,0.73457,0.45689,1.18956,0.98694,0.9317,0.9842,0.76668,0.85096,0.45255,1.25834,0.000148512,0.000148512,0.000148512
42,1258.93,0.70715,0.43266,1.15766,0.97352,0.93788,0.97778,0.76632,0.84713,0.45772,1.27305,0.000134375,0.000134375,0.000134375
43,1287.37,0.69465,0.41917,1.15456,0.97815,0.94819,0.97994,0.7672,0.85363,0.44976,1.28088,0.000120238,0.000120238,0.000120238
44,1315.69,0.69501,0.39864,1.14724,0.97248,0.94967,0.9831,0.76674,0.85497,0.42295,1.27543,0.0001061,0.0001061,0.0001061
45,1344.12,0.67372,0.40434,1.14074,0.97828,0.94057,0.98331,0.77423,0.83814,0.41501,1.25792,9.19632e-05,9.19632e-05,9.19632e-05
46,1372.77,0.6815,0.39114,1.14108,0.97687,0.94875,0.98631,0.77467,0.84349,0.4307,1.26603,7.7826e-05,7.7826e-05,7.7826e-05
47,1401.98,0.66579,0.37613,1.12652,0.97343,0.95225,0.98521,0.78181,0.83062,0.41361,1.25257,6.36888e-05,6.36888e-05,6.36888e-05
48,1431.27,0.66983,0.38231,1.1267,0.96542,0.96132,0.98622,0.78305,0.82494,0.40666,1.24609,4.95516e-05,4.95516e-05,4.95516e-05
49,1461.28,0.6557,0.3683,1.12161,0.96901,0.9553,0.98536,0.78199,0.82487,0.40577,1.24636,3.54144e-05,3.54144e-05,3.54144e-05
50,1490.59,0.64281,0.3656,1.10668,0.97127,0.95189,0.98516,0.78087,0.82556,0.4044,1.24786,2.12772e-05,2.12772e-05,2.12772e-05
